symbol,moneyness_bucket,tenor_bucket,c_j,phi_j,se_phi,t_stat_phi,p_value_phi,r2,n_obs,underlying,index
MO2406-P-6300.CFE,CW,ST,-2.0078752100709574,-0.06680036542655954,0.3958531047321305,-0.16875038904081002,0.8701815581683444,0.003546961009852967,10.0,CSI 1000,000852.SH
MO2406-P-6300.CFE,DCW,MT,-1.1336251804849666,0.0015627576590524772,0.2612248730705596,0.005982422886010399,0.9952860168603751,1.7894659769535082e-06,22.0,CSI 1000,000852.SH
MO2406-P-6300.CFE,DCW,ST,-0.842468652686067,0.646873431461983,0.2710188959056514,2.386820407117207,0.03606360514895135,0.34119553203969843,13.0,CSI 1000,000852.SH
MO2406-P-6400.CFE,DCW,LT,-0.18783513482918343,0.8215898708224094,0.12656999090926466,6.491190091112433,1.2672276902377473e-06,0.6468902093541804,25.0,CSI 1000,000852.SH
MO2406-P-6400.CFE,DCW,MT,-1.9616728432568002,-0.0926418217577046,0.20762208990740938,-0.4462040710553435,0.6596223958765047,0.008582147133463391,25.0,CSI 1000,000852.SH
MO2406-P-6400.CFE,DCW,ST,-1.6808624830320154,0.26451011652378204,0.23516736711067343,1.1247738994301002,0.274694055493885,0.06242827845446541,21.0,CSI 1000,000852.SH
MO2406-P-6600.CFE,DCW,LT,-0.15297121446564746,0.7781929462102034,0.12848226016842038,6.056812397214314,2.9635433726403034e-06,0.6045149653539563,26.0,CSI 1000,000852.SH
MO2406-P-6600.CFE,DCW,MT,-1.9998226191457713,-0.24664781273526515,0.21798070334206848,-1.1315121428350037,0.2690195072953387,0.05064491838269625,26.0,CSI 1000,000852.SH
MO2406-P-6600.CFE,DCW,ST,-1.5338135286414671,0.07986842536213426,0.356765602516957,0.2238680657514849,0.8255282384456232,0.0029393881065635785,19.0,CSI 1000,000852.SH
MO2406-P-6800.CFE,DCW,LT,-0.2067924499365005,0.5959379940968772,0.1666269673606394,3.576479867193752,0.001524167372550523,0.3476702411306425,26.0,CSI 1000,000852.SH
MO2406-P-6800.CFE,DCW,MT,-0.9857935972476961,-0.1407441459743791,0.19376738809564212,-0.7263562117321252,0.4741093313711142,0.019888473840578902,28.0,CSI 1000,000852.SH
MO2406-P-6800.CFE,DCW,ST,-0.24957524935222228,0.05110647056990094,0.26127525088132314,0.1956039479342596,0.8472390992738518,0.002245587425972584,19.0,CSI 1000,000852.SH
MO2406-P-7000.CFE,DCW,LT,0.08747132119075986,0.4230138041274841,0.0953966372171176,4.434263266164483,0.00020885274086511132,0.4719496119152694,24.0,CSI 1000,000852.SH
MO2406-P-7000.CFE,DCW,MT,0.09025614259802378,-0.055890391616047086,0.19566287946608218,-0.28564637180316865,0.7774123803975126,0.0031284073432950033,28.0,CSI 1000,000852.SH
MO2406-P-7000.CFE,DCW,ST,0.4956682515745174,0.01913579065069567,0.26625115934371785,0.07187120122918322,0.9436539560553681,0.00034424609156102903,17.0,CSI 1000,000852.SH
MO2406-P-7200.CFE,DCW,LT,0.18006513278851202,0.6500550278264291,0.13144197604139382,4.945566457565376,3.879565133002984e-05,0.48472637398657725,28.0,CSI 1000,000852.SH
MO2406-P-7200.CFE,DCW,MT,0.7625147163109218,-0.02225768377633855,0.2366616795516156,-0.0940485329881392,0.9258513808436221,0.0003684111630776199,26.0,CSI 1000,000852.SH
MO2406-P-7200.CFE,DCW,ST,0.660368938584744,0.36935594530357163,0.3392981966342653,1.0885880000762458,0.2915279736077888,0.06516482159898307,19.0,CSI 1000,000852.SH
MO2406-P-7400.CFE,DCW,LT,0.25283590474915424,0.8038469778170452,0.11841254661694334,6.788528756310227,5.071241281289919e-07,0.657554392009601,26.0,CSI 1000,000852.SH
MO2406-P-7400.CFE,DCW,MT,1.7011257471070405,0.39122049145265986,0.19706366050263893,1.98524928672692,0.060331012223859164,0.1580201595248717,23.0,CSI 1000,000852.SH
MO2406-P-7400.CFE,DCW,ST,1.1454030700425248,0.2537226619922228,0.2399230418239087,1.0575168606708578,0.3059817307785738,0.06533003701196316,18.0,CSI 1000,000852.SH
MO2407-C-4350.CFE,PW,ST,0.16885763045379887,0.16792394998707405,0.8118078732281049,0.20685183714631225,0.8412934211657811,0.005320006472848027,10.0,CSI 1000,000852.SH
MO2407-C-4400.CFE,PW,ST,-0.09567377049808534,0.7243564749014761,0.38684477270502676,1.8724732140914973,0.09803360017473205,0.30472000870995875,10.0,CSI 1000,000852.SH
MO2407-C-4600.CFE,PW,ST,0.19216816818726867,0.59287387200181,0.21032757775596295,2.818811866362596,0.013664676102162352,0.36206182603375725,16.0,CSI 1000,000852.SH
MO2407-C-4650.CFE,ATM,ST,0.1626625529717997,-0.2635797663952619,0.781278007027746,-0.3373700066100815,0.7445191149425863,0.014027738118674193,10.0,CSI 1000,000852.SH
MO2407-C-4650.CFE,DPW,MT,0.1797252408536344,0.33426506856787785,0.2626400222895626,1.2727118496789802,0.2293626966290649,0.12835354253038822,13.0,CSI 1000,000852.SH
MO2407-C-4650.CFE,PW,MT,0.18609682689799695,0.434709158494756,0.26379487451525,1.6479060076264878,0.12528727107384519,0.18453853587042712,14.0,CSI 1000,000852.SH
MO2407-C-4650.CFE,PW,ST,0.16763526882063157,-0.24465067137182728,0.21964868319038977,-1.113827170817892,0.2890994048963821,0.10135204605818515,13.0,CSI 1000,000852.SH
