group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20250718,824,823,0.9987864077669902,823,822,1,0,0.9987849331713244,0.001215066828675577,-0.00018405184503635894,-7.492750959879434e-05,-2.84242415604796e-05,-2.623308423596678e-06,-7.578315798448293e-06,-1.7767796067950362e-07,2.1717678509328624e-09,0,0.0,6.476468086516055e-05,5.177550631452522e-05,384483863.3220379,975075165.5262841,0,0
20250815,838,838,1.0,838,835,3,0,0.9964200477326969,0.003579952267303103,-0.00035960637889464596,-0.00010486278419870403,-3.91231600031911e-05,-3.11622408719982e-06,-9.176198755893777e-06,-6.937135508391604e-08,2.7037295515065003e-08,1,0.0011933174224343676,7.677649977406073e-05,5.6807805556678885e-05,374205209.0504824,998761984.9474951,0,0
20250919,1209,1209,1.0,1209,1178,31,0,0.9743589743589743,0.02564102564102564,-0.0920094441500094,-0.00968405212706793,-0.0024718312041163773,-3.998474473562587e-05,-0.0005811367984172719,-2.103125681342753e-07,2.404587861780173e-06,0,0.0,0.0006514929556111497,0.0004446588847455,9512786.16932793,115953063.94018131,0,0
20251017,897,897,1.0,897,894,3,0,0.9966555183946488,0.0033444816053511705,-0.00031404636602314453,-0.00012470831070618874,-6.842531253229381e-05,-4.404759103020335e-06,-1.4945093067262952e-05,-4.8626331721011006e-08,2.099291098269613e-09,1,0.0011148272017837235,7.939255007932264e-05,5.481580829782492e-05,246884203.05620232,1011734183.8610969,0,0
20251121,992,991,0.998991935483871,991,949,42,0,0.9576185671039354,0.04238143289606458,-0.0001077323583878786,-3.60474698550243e-05,-2.2122321961214602e-05,-8.608044178138417e-07,-4.4406177172558295e-06,-8.67765151743508e-10,4.36010557082352e-08,6,0.006054490413723511,0.00010350328638823869,6.536566600115172e-05,520419575.4790045,2769152662.5251493,1,0
20251219,1381,1381,1.0,1381,1322,59,0,0.9572773352643013,0.042722664735698766,-0.0031186445216037223,-0.001073218451526581,-0.00043732100193567374,-7.067918880653715e-06,-7.931832373319214e-05,-7.305036768013333e-10,8.632893193638135e-07,3,0.002172338884866039,0.0004695944113944802,0.0002727870130329,41733999.32237173,613145821.6929613,0,0
20260116,953,951,0.9979013641133263,951,939,12,0,0.9873817034700315,0.012618296529968454,-7.762422170798918e-05,-2.188834489585526e-05,-6.762449582531535e-06,-4.661604428282751e-07,-1.754678373132452e-06,-5.99029952494329e-09,1.2744725404556969e-09,8,0.008412197686645636,7.06898614526798e-05,6.004070595375224e-05,798005193.7640522,4857687674.733433,0,0
20260224,891,890,0.9988776655443322,890,885,5,0,0.9943820224719101,0.0056179775280898875,-0.00022393322419047554,-7.918871790303765e-05,-2.2455477105803156e-05,-5.93585005295873e-07,-5.08222263505237e-06,-1.7767086231984732e-08,3.3756939603098086e-08,1,0.0011235955056179776,9.093848653525335e-05,5.330287376599627e-05,739311666.1331067,3941490555.251956,0,0
20260320,1294,1294,1.0,1294,1109,185,0,0.857032457496136,0.14296754250386398,-0.006941230569742411,-0.0013426070522758714,-0.0003213462870493715,-3.471811367903356e-06,-7.570572870296259e-05,2.8097658532970346e-07,1.2898332354363834e-06,1,0.0007727975270479134,0.0010027349684668962,0.00066782665161965,20594186.04099731,232556319.787803,0,0
20260417,841,837,0.995243757431629,837,833,4,0,0.995221027479092,0.0047789725209080045,-7.50642519160513e-05,-4.837637845726151e-05,-1.738564435790696e-05,-1.9075955342244217e-06,-4.438555428431627e-06,-2.822249253322099e-08,2.5751634740499086e-08,0,0.0,6.670947969800274e-05,4.8561978207704974e-05,358919227.06017166,1975007198.9704268,0,0
20260515,756,756,1.0,756,728,28,0,0.9629629629629629,0.037037037037037035,-0.0003487009223716888,-0.00017551305476725122,-6.991293352082025e-05,-3.756554151583933e-06,-1.5092444717868241e-05,-2.0176598348938773e-09,7.451019123759125e-09,2,0.0026455026455026454,8.393167340702707e-05,5.360546614751077e-05,223507733.35140258,1463187315.7868423,0,0
20260622,1244,1243,0.9991961414790996,1243,1097,146,0,0.8825422365245374,0.11745776347546259,-0.006344056657566053,-0.0015136214224653233,-0.000290281402072307,-5.151606329497958e-06,-7.848445522957112e-05,2.1269212104424537e-07,7.63457492804231e-06,0,0.0,0.0006804076622019637,0.0003361317536525,19796810.68910002,403873084.42308474,0,0
20260717,793,793,1.0,793,770,23,0,0.9709962168978562,0.029003783102143757,-5.844233751226275e-05,-2.9684276902866717e-05,-1.7568342958185182e-05,-6.751203478990423e-07,-3.6927695934856423e-06,-2.065217251171194e-09,2.3119462712064833e-07,4,0.005044136191677175,7.747108464301493e-05,4.981460766253322e-05,562528341.7260501,2447606179.98838,0,0
20260821,506,503,0.9940711462450593,503,499,4,0,0.9920477137176938,0.007952286282306162,-4.622901057992031e-05,-2.9004900756647065e-05,-1.3654828012616107e-05,-1.7014409032837185e-06,-3.5262105181395555e-06,-4.6637343018248117e-08,1.6553857609002975e-09,1,0.0019880715705765406,5.761332667943806e-05,4.19439257800756e-05,490968664.1114616,1697287123.156412,0,0
20260918,465,464,0.9978494623655914,464,416,48,0,0.896551724137931,0.10344827586206896,-0.00023018431147565994,-9.782793095747724e-05,-5.637269351026568e-05,-1.930484237903639e-06,-1.0652572228340044e-05,8.6723759144577e-09,1.0236672637142524e-07,1,0.0021551724137931034,0.00023869393634671335,0.00012630441025105,63753168.04063468,523825552.23166716,0,0
